X_train,y_train
0.001,-0.96411
0.93,-1.3685
0.989,-1.0964
0.086,-0.42874
0.897,-1.6389
0.219,-0.092356
0.315,-0.030857
0.008,-0.96885
0.87,-1.7455
0.326,-0.02358
0.357,-0.22216
0.518,-1.053
0.333,-0.046503
0.898,-1.6205
0.845,-1.8892
0.876,-1.6545
0.688,-1.9368
0.146,-0.091954
0.216,-0.0029627
0.305,-0.095621
0.793,-1.944
0.135,-0.29441
0.778,-1.9595
0.905,-1.5667
0.647,-1.8974
0.524,-1.2814
0.341,-0.17368
0.506,-1.0558
0.289,-0.12491
0.742,-2.0079
0.487,-0.84617
0.554,-1.4015
0.946,-1.4695
0.885,-1.6942
0.091,-0.45878
0.626,-1.7198
0.834,-1.9464
0.931,-1.5374
0.543,-1.2421
0.265,-0.019594
0.621,-1.7187
0.493,-1.0408
0.268,-0.017055
0.652,-1.8563
0.252,0.032339
0.528,-1.1858
0.883,-1.6927
0.813,-2.0014
0.957,-1.2245
0.034,-0.76023
0.444,-0.64291
0.912,-1.5396
0.741,-1.9778
0.867,-1.6604
0.281,0.056273
0.095,-0.61651
0.798,-1.9724
0.949,-1.2963
0.186,-0.11121
0.183,-0.086752
0.622,-1.7012
0.561,-1.3801
0.209,-0.076448
0.476,-0.80522
0.555,-1.2284
0.27,0.082497
0.073,-0.56136
0.49,-0.90402
0.567,-1.4223
0.398,-0.4088
0.39,-0.24452
0.858,-1.8521
0.768,-2.0516
0.852,-1.8061
0.418,-0.54941
0.551,-1.2857
0.664,-1.8021
0.041,-0.77483
0.643,-1.808
0.191,0.00029727
0.17,-0.20676
0.552,-1.3876
0.009,-0.94058
0.932,-1.4816
0.482,-0.97766
0.72,-1.919
0.984,-1.1266
0.51,-1.0645
0.213,-0.0086865
0.801,-1.8423
0.122,-0.29439
0.457,-0.78213
0.097,-0.39704
0.95,-1.3098
0.909,-1.435
0.668,-1.8945
0.604,-1.5909
0.164,-0.098056
0.37,-0.25188
0.329,-0.19108
0.696,-1.9481
0.088,-0.49089
0.377,-0.38633
0.181,-0.053566
0.087,-0.3934
0.944,-1.3334
0.313,-0.023333
0.081,-0.58312
0.835,-1.8655
0.512,-1.1465
0.617,-1.6781
0.227,0.022887
0.669,-1.8945
0.658,-1.9585
0.405,-0.4974
0.201,-0.0058113
0.786,-2.0409
0.276,0.0026496
0.017,-0.98281
0.258,0.078631
0.703,-1.9118
0.663,-1.7749
0.934,-1.3792
0.575,-1.5185
0.74,-2.069
0.189,-0.041749
0.151,-0.096721
0.039,-0.7316
0.687,-1.8955
0.171,-0.18176
0.261,-0.088141
0.735,-1.9426
0.689,-2.0586
0.203,-0.033474
0.577,-1.4642
0.075,-0.49889
0.941,-1.3216
0.029,-0.76089
0.807,-1.9692
0.684,-1.9935
0.455,-0.71812
0.859,-1.6921
0.027,-0.67394
0.694,-1.7997
0.875,-1.7689
0.644,-1.7862
0.033,-0.87514
0.145,-0.15144
0.805,-1.8934
0.148,-0.10261
0.693,-1.8442
0.369,-0.19267
0.274,-0.11641
0.025,-0.77668
0.78,-1.9635
0.521,-1.1416
0.33,-0.21065
0.051,-0.63778
0.07,-0.67475
0.423,-0.48812
0.681,-1.96
0.206,0.013455
0.392,-0.37833
0.435,-0.60431
0.089,-0.50156
0.153,-0.11126
0.765,-2.0136
0.889,-1.6887
0.448,-0.67235
0.404,-0.35476
0.879,-1.6968
0.106,-0.42391
0.48,-0.85787
0.7,-1.9961
0.059,-0.68398
0.627,-1.6956
0.327,-0.12796
0.018,-0.88948
0.119,-0.29142
0.222,0.032567
0.32,-0.021618
0.078,-0.5754
0.417,-0.65864
0.91,-1.5436
0.82,-1.9513
0.445,-0.61702
0.451,-0.76826
0.591,-1.572
0.629,-1.6817
0.549,-1.3236
0.592,-1.5603
0.923,-1.4341
0.635,-1.832
0.756,-1.991
0.802,-1.9224
0.103,-0.37531
0.366,-0.27811
0.176,-0.043246
0.788,-2.0652
0.606,-1.6776
0.615,-1.8129
0.336,-0.090097
0.559,-1.3492
0.125,-0.27113
0.263,-0.0051455
0.231,-0.026077
0.342,-0.14675
0.733,-2.0021
0.722,-1.9836
0.317,-0.13572
0.362,-0.24235
0.558,-1.4016
0.538,-1.1898
0.737,-1.9705
0.611,-1.6718
0.442,-0.56216
0.427,-0.62178
0.245,0.0035622
0.637,-1.7748
0.952,-1.3254
0.572,-1.5135
0.019,-0.90432
0.4,-0.4185
0.46,-0.75675
0.205,0.022706
0.831,-1.8802
0.544,-1.3048
0.083,-0.42115
0.783,-1.8628
0.725,-1.9459
0.881,-1.6512
0.296,-0.027417
0.505,-1.021
0.049,-0.6355
0.895,-1.6824
0.961,-1.3157
0.676,-1.7693
0.233,-0.058462
0.755,-1.9104
0.581,-1.4442
0.943,-1.3811
0.866,-1.8218
0.576,-1.4847
0.908,-1.5348
0.683,-1.8795
0.781,-1.9585
0.636,-1.7392
0.431,-0.61563
0.715,-1.9167
0.072,-0.59783
0.759,-2.0117
0.18,-0.18743
0.749,-2.0153
0.646,-1.7996
0.132,-0.31766
0.123,-0.29111
0.933,-1.3718
0.378,-0.26438
0.232,-0.055872
0.351,-0.18948
0.269,-0.010966
0.503,-1.0398
0.509,-0.96119
0.988,-1.1261
0.517,-1.0903
0.458,-0.73354
0.753,-2.0105
0.005,-0.93562
0.849,-1.7829
0.618,-1.7124
0.836,-1.8839
0.036,-0.78345
0.266,-0.028815
0.598,-1.5797
0.495,-1.0089
0.983,-1.125
0.762,-2.0588
0.128,-0.25801
0.134,-0.26067
0.803,-1.9752
0.714,-2.0399
0.2,-0.11906
0.082,-0.53395
0.771,-1.9409
0.977,-1.2538
0.467,-0.75859
0.818,-1.9176
0.926,-1.4608
0.706,-2.006
0.868,-1.751
0.758,-2.071
0.112,-0.34668
0.156,-0.14829
0.596,-1.5993
0.004,-0.86399
0.149,-0.19027
0.409,-0.42781
0.163,-0.13008
0.323,-0.053592
0.675,-1.7443
0.974,-1.2232
0.367,-0.24931
0.534,-1.1846
0.656,-1.9104
0.709,-1.972
0.54,-1.2912
0.257,0.042125
0.195,-0.042779
0.198,-0.05
0.413,-0.585
0.812,-1.9498
0.878,-1.7422
0.434,-0.64621
0.829,-1.7885
0.593,-1.6009
0.035,-0.8585
0.877,-1.6966
